strategy,prompt
zero_shot,Please read the text of the following Kickstarter campaign and consider the following question. Does the main product or service offered benefit the broader society (beyond its consumers)? Answer only with a number (0 or 1). Here is the text:
zero_shot,Examine the text of the following Kickstarter campaign. Does the main product or service described benefit the broader society (beyond its consumers)? Answer only with a number (0 or 1). Here is the text:
zero_shot,Review the text of the following Kickstarter campaign. Does the main product or service presented create value for society beyond its direct consumers? Answer only with a number (0 or 1). Here is the text:
zero_shot,"Based on the text of the following Kickstarter campaign, determine if the main product or service described contributes to broader societal wellbeing beyond consumer benefit. Answer only with a number (0 or 1). Here is the text:"
zero_shot,"Evaluate whether the main product or service described in the following Kickstarter campaign provides meaningful benefit to society at large, not just its users. Answer only with a number (0 or 1). Here is the text:"
zero_shot,Assess whether the main product or service presented in the following Kickstarter campaign generates positive value for the broader society beyond individual consumers. Answer only with a number (0 or 1). Here is the text:
zero_shot,Consider whether the main product or service outlined in the following Kickstarter campaign advances collective societal good beyond personal utility. Answer only with a number (0 or 1). Here is the text:
zero_shot,"Evaluate whether the main product or service described in the following Kickstarter campaign positively impacts society as a whole, rather than just its direct users. Answer only with a number (0 or 1). Here is the text:"
few_shot,"Please read the text of the following Kickstarter campaign and evaluate whether the main product or service benefits the broader society (beyond its consumers). Examples: 1) 'Solar-powered water purifier for communities' = 1 (benefits environment and public health), 2) 'Premium leather accessories' = 0 (consumer-only benefit), 3) 'Educational coding app for children' = 1 (benefits education and skill development). Using these examples as guidance, classify the following text with 1 for yes or 0 for no. Answer only with a number (0 or 1). Here is the text:"
few_shot,"Evaluate whether the main product or service described in the following Kickstarter campaign benefits the broader society (beyond its consumers). Consider these examples: 1) 'Community composting system' = 1 (reduces waste, improves soil health), 2) 'Luxury watch collection' = 0 (individual consumer benefit only), 3) 'Open-source medical device' = 1 (advances healthcare accessibility). Based on these examples, classify the text. Answer only with a number (0 or 1). Here is the text:"
few_shot,"Determine if the main product or service presented in the following Kickstarter campaign benefits broader society. Reference cases: 1) 'Public air quality monitoring network' = 1 (benefits community health monitoring), 2) 'Designer sunglasses' = 0 (personal fashion only), 3) 'Low-cost water filtration system' = 1 (improves public health access). Use these examples to classify. Answer only with a number (0 or 1). Here is the text:"
few_shot,"Assess whether the main product or service described in the following Kickstarter campaign benefits the broader society. Examples: 1) 'Renewable energy storage system' = 1 (benefits grid stability), 2) 'Collectible card game' = 0 (entertainment only), 3) 'Accessible transit app' = 1 (improves mobility for all). Apply these examples to classify. Answer only with a number (0 or 1). Here is the text:"
few_shot,"Evaluate if the main product or service in the following Kickstarter campaign benefits society beyond consumers. Consider: 1) 'Urban wildlife corridor project' = 1 (preserves biodiversity), 2) 'Custom phone cases' = 0 (decorative only), 3) 'Low-cost diagnostic tool' = 1 (expands healthcare access). Use these to guide classification. Answer only with a number (0 or 1). Here is the text:"
few_shot,"Determine whether the main product or service described in the following Kickstarter campaign benefits broader society. Examples: 1) 'Community emergency response system' = 1 (improves public safety), 2) 'Personalized jewelry line' = 0 (aesthetic value only), 3) 'Open educational resources' = 1 (broadens learning access). Use these as reference. Answer only with a number (0 or 1). Here is the text:"
few_shot,"Assess if the main product or service presented in the following Kickstarter campaign benefits society beyond its users. Reference cases: 1) 'Sustainable packaging solution' = 1 (reduces waste), 2) 'Premium headphones' = 0 (individual benefit), 3) 'Citizen science platform' = 1 (advances research). Apply these examples. Answer only with a number (0 or 1). Here is the text:"
few_shot,"Evaluate whether the main product or service described in the following Kickstarter campaign benefits the broader society (beyond its consumers). Examples: 1) 'Public health data visualization platform' = 1 (improves healthcare decision-making), 2) 'Luxury camping gear' = 0 (personal leisure only), 3) 'Urban food waste reduction system' = 1 (reduces environmental impact). Use these examples to classify. Answer only with a number (0 or 1). Here is the text:"
cot,"Please evaluate whether the main product or service described in the following Kickstarter campaign benefits the broader society (beyond its consumers). First identify the core offering, then list consumer benefits, examine societal impacts, and assess their significance. After this analysis, provide your classification: 1 for yes (clear broader societal benefits) or 0 for no (primarily consumer benefits). Answer only with a number (0 or 1). Here is the text:"
cot,"Determine whether the main product or service presented in the following Kickstarter campaign benefits broader society. Follow these steps: 1) Define the core innovation, 2) Map direct user benefits, 3) Identify indirect beneficiaries, 4) Assess community-level impacts, 5) Evaluate long-term societal effects. Based on this analysis, classify. Answer only with a number (0 or 1). Here is the text:"
cot,"Evaluate whether the main product or service described in the following Kickstarter campaign benefits society beyond its consumers. Process: 1) Outline key product capabilities, 2) Identify primary user groups, 3) Map secondary beneficiaries, 4) Assess societal spillover effects, 5) Evaluate net social impact. Use this analysis to classify. Answer only with a number (0 or 1). Here is the text:"
